colors
cerise
turquoise
puce
harlequin
bud
amethyst
plum
peach
silver
brown
gold
bronze
pink
erin
azure
amaranth
black
chocolate
magenta
sapphire
gray
taupe
orchid
jade
white
coral
orange-red
champagne
indigo
lime
rose
blue
beige
carmine
green
red
burgundy
emerald
ivory
red-violet
byzantium
salmon
orange
raspberry
apricot
periwinkle
coffee
purple
viridian
copper
amber
yellow
lemon
scarlet
maroon
tan
violet
teal
navy
crimson
cyan
blue-green
mauve
pear
ruby
aquamarine
ultramarine
cerulean
lilac
sangria
blue-violet
grey
blush
sand
lavender
olive
chartreuse
ochre
his
blk
sw
woob
wog
prl
bgr
whke
tvs
rbc
frbs
dvf
dw
wdp
dnl
lrv
whhp
wbf
nw
epc
cbgr
rvr
hge
lgy
rt
rvn
db
blk/wht
icc
covc
gt
gst
pnk
uhb
rag
il
g
nb
sg
xb
pdp
dgn
vibgyor
ri
tqb
rr
lg
gbx
wyr
lp
owl
ba
cmy
fpe
gg
noc
hsb
eng
pw
wlgb
yge
vg
ryw
is
yw
bop
nmm
fy
kb
be
fppb
oe
dg
iv
whgn
bbb
fppo
bw
cpk
nyg
grow
orbk
mci
gnry
gy
ngc
ncb
pc
red
ymc
jb
pg
hsv
bwc
gd
wyor
cr
roygbiv
y
ttlb
dyw
dcm
fw
mr
tg
apec
fbe
cad
pe
gp
yel
bi
ob
c
dvt
lbn
ye
bd
s&p
fwe
pkb
rtb
burg
biw
hc
epns
lc
biv
yr
dtb
ucs
qc
fr
ssm
h
fly
lvt
navw
py
fyw
mgm
bsc
uv
glc
mm
all
sog
ec
ddpo
we
wc
esg
btb
vc
rmc
ufb
qb
kbc
bc
gsdm
sf
op
pd
rj
wowb
gl
a
lgn
lb
wf
pgbk
cotm
ici
wt
ir
drk
ncnd
scg
roygbv
yi
foe
bn
syg
fir
wr
rbg
ntsc
sr
amanda
uca
dm
cc
cym
wcmy
tc
dpe
mb
ib
cw
fppl
og
ro
ge
sar
hb
tacky
gbb
gs
drd
rct
ci
sb
r
ot
am
wd
gm
wonp
wht
bg
cotw
l
msog
ws
rbz
cmf
pr
gf
ryg
mi
ufo
gb
v
wor
cf
bob
cag
nc
fvt
bv
whfu
gr
ct
wwpk
cmyk
bk
ebp
royg
yc
mw
ikb
opsd
dr
oyb
phz
bmw
gn
vga
ol
irb
ab
rb
yl
euv
dwb
wow
bkgd
ggf
sgd
vs
wobk
hpwh
bepu
wtb
ggp
rby
vsm
wooa
bvd
sy
pf
cbwh
acmv
fub
hp
org
amg
tcdb
wg
ctb
lyw
blb
dppl
iib
yoy
tp
wcrw
fbk
ctrs
ac
cst
hsl
gry
rbt
loe
se
wb
o
pew
dbe
ycbcr
fb
fgy
lw
lbe
m
rgb
gem
sct
rwab
vw
bew
bb
ls
bt
ihs
bkgn
fgn
cg
ygb
llr
ddbg
hg
pmr
mv
b
cb
hsi
frd
pp
hlbk
vt
wob
wocb
aw
lch
vwh
lrd
doe
jg
pk
hsc
mg
twr
bow
lpe
nir
rd
lr
soch
cto
cwp
wrb
wtgy
tbs
ww
rcb
eb
hr
