colors
amaranth
puce
maroon
coffee
amethyst
green
aquamarine
beige
pink
scarlet
blush
cyan
erin
violet
burgundy
cerise
lilac
purple
blue-violet
salmon
silver
tan
byzantium
blue-green
apricot
lavender
mauve
raspberry
bronze
cerulean
ivory
periwinkle
yellow
coral
carmine
taupe
blue
sapphire
emerald
magenta
grey
brown
sangria
lime
red
ochre
teal
amber
rose
peach
indigo
viridian
copper
orchid
chocolate
red-violet
white
pear
plum
turquoise
orange-red
bud
gray
olive
sand
ultramarine
lemon
orange
chartreuse
champagne
harlequin
gold
crimson
navy
black
ruby
jade
azure
rag
nc
hpwh
bc
sg
og
ws
soch
cag
phz
gem
ab
yge
ye
gsdm
rbc
bkgd
ww
wonp
bi
cto
mi
pe
icc
twr
vw
cmyk
cw
cf
dr
iv
royg
l
yw
eng
y
wooa
epns
prl
nmm
amanda
cotm
llr
noc
wrb
g
ro
rt
ctb
mm
mb
bob
is
ddbg
frd
pc
rtb
tbs
wht
gp
bt
lbe
hlbk
fw
euv
xb
ib
nir
sy
fbk
mr
ncnd
se
rj
yel
dm
cbwh
sog
ci
lw
pk
dvt
wd
r
doe
gst
wobk
red
owl
ge
a
gbb
gm
op
ymc
roygbiv
rr
wowb
ac
wocb
hsi
ri
pew
c
bwc
ntsc
gt
pgbk
fly
wr
esg
hb
lb
pkb
bd
rd
ihs
mg
cc
ebp
vt
ot
glc
lp
blk/wht
cg
eb
fir
s&p
rcb
mgm
vc
gr
biv
wdp
dcm
opsd
covc
yoy
wc
whfu
nw
gf
cmf
dg
cad
v
sct
wcrw
ol
bn
o
wob
lpe
wcmy
py
ggf
loe
ir
hg
wt
hsv
syg
lch
whke
bmw
burg
wog
scg
sr
navw
epc
yi
uhb
sw
cpk
his
ygb
vsm
wb
ryw
roygbv
acmv
hp
btb
pd
nyg
pp
kb
fgn
biw
dvf
dw
mci
dgn
bop
bkgn
grow
uv
bew
dyw
wtb
fppo
ufo
am
ici
vwh
gd
lc
ycbcr
cym
ddpo
dpe
yl
jg
tqb
rwab
wg
irb
dppl
wlgb
jb
hsc
dnl
yc
rct
gnry
wyor
bbb
fr
gg
rby
drd
wow
fyw
sb
lbn
m
hge
bgr
wor
pnk
rbt
lvt
ngc
lrv
gl
apec
ttlb
bow
cbgr
hsl
wwpk
ls
amg
yr
whhp
vg
blb
fgy
bv
org
bb
wtgy
cb
cst
fvt
fppb
vs
wbf
dwb
wyr
hsb
ec
tp
fppl
bk
aw
db
fb
pf
tcdb
whgn
drk
pr
wf
be
tg
bg
fwe
woob
iib
sgd
gbx
tvs
vga
cr
all
vibgyor
bsc
mv
gy
frbs
h
lg
il
qb
cwp
sar
rvn
ct
fpe
tc
dtb
msog
nb
fy
rvr
qc
hc
tacky
cotw
blk
rbz
fub
mw
we
ba
lgn
ggp
ob
uca
gb
lr
hr
ssm
ctrs
foe
ryg
gs
ikb
dbe
oe
bvd
rb
ufb
ncb
gn
lyw
pg
pmr
rmc
bw
cmy
kbc
pw
pdp
lgy
rbg
fbe
gry
bepu
b
ucs
sf
rgb
orbk
oyb
lrd
